Date Collected	Plot	Sex	Weight	Species	Calibration	YEAR	DOY	
18/07/13	8	F	22	DM	Y	2013	199	
18/07/13	4	F	29	DM	Y	2013	199	
16/07/13	7	M	33	DM	Y	2013	197	
18/07/13	7	F	35	DM	Y	2013	199	
8/01/14	2	F	35	DM	Y	2014	8	
18/07/13	7	M	36	DM	Y	2013	199	
18/07/13	6	F	37	DM	Y	2013	199	
8/01/78	4	F	37	DM	Y	1978	8	
8/01/78	4	M	37	DM	Y	1978	8	
8/01/14	2	F	37	DM	Y	2014	8	
8/01/14	2	M	38	DM	Y	2014	8	
8/01/14	2	M	38	DM	Y	2014	8	
18/07/13	3	M	40	DM	Y	2013	199	
18/07/13	4	F	41	DM	Y	2013	199	
18/07/13	7	F	42	DM	Y	2013	199	
8/01/78	4	F	42	DM	Y	1978	8	
8/01/78	4	F	42	DM	Y	1978	8	
8/01/14	2	M	43	DM	Y	2014	8	
8/01/14	2	M	43	DM	Y	2014	8	
8/01/14	2	M	44	DM	Y	2014	8	
8/01/78	4	M	45	DM	Y	1978	8	
8/01/14	2	M	45	DM	Y	2014	8	
18/07/13	4	F	46	DM	Y	2013	199	
18/07/13	7	M	48	DM	Y	2013	199	
8/01/78	4	F	48	DM	Y	1978	8	
8/01/14	2	M	48	DM	Y	2014	8	
18/02/14	2	M	52	DM	Y	2014	49	
16/07/13	2	F		DM	Y	2013	197	
16/07/13	3	M		DM	Y	2013	197	
16/07/13	1	M		DM	Y	2013	197	
8/01/78	4	M		DM	Y	1978	8	
17/10/13	17	F	31	DO	Y	2013	290	
17/10/13	3	F	33	DO	Y	2013	290	
14/11/13	8	F	39	DO	Y	2013	318	
10/12/13	9	F	40	DO	Y	2013	344	
18/10/13	8	F	41	DO	Y	2013	291	
11/12/13	8	F	41	DO	Y	2013	345	
12/11/13	1	F	44	DO	Y	2013	316	
10/12/13	1	M	45	DO	Y	2013	344	
17/10/13	17	F	48	DO	Y	2013	290	
12/11/13	1	M	48	DO	Y	2013	316	
17/10/13	3	F	50	DO	Y	2013	290	
19/08/13	8	F	52	DO	Y	2013	231	
8/01/78	4	M	52	DO	Y	1978	8	
13/11/13	4	F	107	DS	Y	2013	317	
13/11/13	14	F	113	DS	N	2013	317	
12/11/13	20	M	115	DS	Y	2013	316	
13/11/13	4	F	115	DS	Y	2013	317	
12/11/13	9	F	117	DS	Y	2013	316	
13/11/13	17	F	118	DS	Y	2013	317	
12/11/13	9	F	120	DS	Y	2013	316	
12/11/13	1	F	121	DS	Y	2013	316	
13/11/13	11	F	122	DS	Y	2013	317	
13/11/13	11	F	126	DS	Y	2013	317	
8/01/78	4	F	128	DS	Y	1978	8	
13/11/13	17	M	132	DS	N	2013	317	
8/01/14	2	M	157	DS	N	2014	8	
8/07/15	3	F	115	NA	Y	2015	189	
8/07/14	3	F	115	NA	Y	2014	189	
18/05/15	3	F	182	NA	Y	2015	138	
18/05/14	3	F	182	NA	Y	2014	138	
8/07/15	3	M	190	NA	Y	2015	189	
8/07/14	3	M	190	NA	Y	2014	189	
18/02/14	2	M	218	NA	N	2014	49	
11/03/15	3	M	232	NA	Y	2015	70	
11/03/14	3	M	232	NA	N	2014	70	
8/04/14	3	F		NA		2014	98	
8/01/78	4	M	35	OL	Y	1978	8	
8/01/14	2			OL	Y	2014	8	
11/03/15	3	F	22	OT	Y	2015	70	
11/03/14	3	F	22	OT	Y	2014	70	
18/02/15	3	F	23	OT	Y	2015	49	
19/02/14	3	F	23	OT	Y	2014	50	
18/02/15	3	M	24	OT	Y	2015	49	
18/02/14	3	M	24	OT	Y	2014	49	
11/03/15	3	M	26	OT	Y	2015	70	
11/03/14	3	M	26	OT	Y	2014	70	
9/06/15	3	F	29	OT	Y	2015	160	
9/06/14	3	F	29	OT	Y	2014	160	
8/01/14	2			OT	Y	2014	8	
8/01/14	2			OX	Y	2014	8	
8/01/14	2	M	22	PE	Y	2014	8	
8/01/14	2	F	7	PF	Y	2014	8	
18/02/14	2	F	7	PF	Y	2014	49	
8/01/15	3	M	7	PF	Y	2015	8	
8/01/14	3	M	7	PF	Y	2014	8	
11/03/15	3	M	8	PF	Y	2015	70	
11/03/14	3	M	8	PF	Y	2014	70	
8/01/14	2				Y	2014	8	
8/04/15	3	F				2015	98	
6/05/15	3					2015	126	
6/05/14	3					2014	126	
